{-756816,619986}
{840905,588274}
{938065,-822605}
{587601,-834821}
{-401892,825225}
{891721,-474081}
{577286,-268825}
{33499,-214661}
{230142,244819}
{158114,-287710}
{349187,-519438}
{-318880,-562167}
{-144537,875892}
{32521,-387005}
{154693,431660}
{-977074,848675}
{73613,-315260}
{445087,-883405}
{-750284,768061}
{-275600,-789936}
{273116,974895}
{534298,-433944}
{54727,914182}
{548925,757515}
{-374850,-409764}
{194244,-132709}
{696011,-532191}
{786495,910248}
{-24951,-365249}
{765540,766739}
{701796,852068}
{-480775,910258}
{200856,-712560}
{613190,-858127}
{-783038,-799311}
{749442,-147643}
{113198,-333641}
{-349083,-217504}
{-818299,338598}
{-716152,710197}
{-568877,-349106}
{-305024,-9766}
{634549,-176094}
{-555634,676883}
{873628,-584569}
{-147902,310588}
{-908643,302273}
{898042,578801}
{-953725,685984}
{-690639,865311}
{541826,746177}
{-920640,803292}
{952084,-53975}
{708433,-103185}
{-13750,278868}
{936427,934209}
{822576,185898}
{834441,-356900}
{-648111,-992227}
{44636,881516}
{-701877,-615204}
{300055,64383}
{642346,781095}
{-719420,-505922}
{-853994,573708}
{-261528,-64701}
{70684,-996889}
{370944,112039}
{-332394,-520129}
{964132,-983253}
{-446262,703749}
{-516649,744676}
{419989,-59077}
{-285991,628155}
{-217704,471995}
{-21945,-179967}
{-348275,-505288}
{-803107,-955883}
{-289887,-452050}
{-387800,-695678}
{552108,-526305}
{-397032,-713273}
{-779502,721883}
{324799,192785}
{-638945,22479}
{-223613,209920}
{-156491,-357034}
{-895694,-870580}
{325966,-804400}
{-551343,-856234}
{258438,687789}
{998467,-774812}
{97147,597962}
{-294152,389758}
{-506850,-513434}
{-318003,368845}
{299396,-885468}
{727916,737081}
{-838317,-88091}
{-823943,-992694}
{697192,797348}
{-435536,478986}
{-452397,-381928}
{-413431,932869}
{-442517,-600564}
{-78536,156786}
{-281012,272135}
{-144778,63043}
{373982,351813}
{565996,-788903}
{-341717,-307292}
{921604,-986474}
{-95495,-53051}
{961680,609383}
{491714,-384646}
{-183344,-996963}
{-826580,-403843}
{-698074,929468}
{882076,831938}
{-995420,-204797}
{442447,-783445}
{-504685,165317}
{-829844,-669891}
{34651,607513}
{-52626,772306}
{-241100,827490}
{-457032,963853}
{-514836,-580364}
{-981997,398408}
{-793635,-520079}
{150687,-155164}
{-893821,-565068}
{811033,734146}
{557647,212307}
{-258060,-504129}
{-900308,-285677}
{-966801,887484}
{284809,902412}
{153030,-139333}
{375751,511798}
{78773,275915}
{-326078,688098}
{219879,-394033}
{-313717,-520989}
{-882295,559451}
{371534,639598}
{74936,89914}
{-520331,-155970}
{884655,272523}
{957106,831869}
{189845,-297171}
{942612,-784080}
{263631,29008}
{360891,678229}
{484536,886514}
{-406854,122469}
{-992868,20739}
{-874112,126957}
{597009,-86018}
{797786,883026}
{-250626,-215081}
{617638,-47343}
{-698452,-625539}
{-494840,-396813}
{-179999,956180}
{-270159,-636567}
{-544263,-925288}
{111181,-921966}
{-757345,-10323}
{-67355,-995656}
{510024,389611}
{406202,529570}
{-203975,-158811}
{-87385,-378301}
{554962,-10696}
{-667400,64950}
{106706,836727}
{-651440,976867}
{490575,-203326}
{152900,-1477}
{737145,-386508}
{992666,-974679}
{105396,-732271}
{436535,234540}
{-872494,754302}
{-940647,-203896}
{616145,-327998}
{-658618,-162919}
{526763,-738792}
{832735,-67055}
{735843,747927}
{115045,-752618}
{90731,548472}
{275085,-462599}
{-196589,178774}
{-157071,769468}
{-891120,-721762}
{258728,-698984}
{625142,-685448}
{-984875,-283224}
{463483,-625483}
{621063,148297}
{-434177,-709857}
{-187263,312081}
{-24582,-839236}
{-859659,-277882}
{540628,261985}
{919895,119607}
{413904,-158944}
{-870170,-371117}
{-152812,-932595}
{-597297,-936958}
{797018,-905190}
{-351411,-178474}
{-183400,-936040}
{-541167,-5170}
{837735,-508537}
{-989857,-49250}
{-479127,-1243}
{-745019,216802}
{751393,754210}
{-860562,-31840}
{-928642,-147255}
{-542026,424879}
{835040,606165}
{331570,486064}
{674258,-924120}
{462507,-998312}
{818411,-353702}
{722204,-722933}
{-871923,120652}
{-541113,-830708}
{-997448,-719548}
{-129285,-176712}
{-211417,741319}
{-278751,406324}
{47648,-776134}
{-664068,-939196}
{-887754,986938}
{-642379,-842018}
{-291516,5841}
{-285675,742844}
{320384,689516}
{-779290,-214796}
{374365,-115289}
{526996,-92922}
{632832,880615}
{-416003,470534}
{-802696,-646820}
{695928,-103961}
{429323,-652445}
{926316,554049}
{376671,-857613}
{242322,355414}
{-548893,-187363}
{477159,190914}
{652772,886724}
{-782895,402009}
{-339661,-457828}
{921695,603656}
{-199714,-757530}
{448801,-354188}
{385971,-999588}
{-717948,-179983}
{-65233,-756417}
{-94391,97343}
{-731378,218527}
{85547,-988437}
{320449,764296}
{377410,803942}
{178534,145010}
{-512530,304199}
{910201,-981390}
{-256039,-957143}
{-633904,158988}
{-34851,523211}
{-411891,643050}
{924490,-589680}
{769020,-36503}
{578184,896313}
{-438316,529974}
{-474934,-681771}
{699784,-346788}
{506684,126934}
{194504,-744874}
{735474,-740516}
{-587743,823043}
{636220,691309}
{115555,287389}
{-745397,-217827}
{846919,-735314}
{990113,-827675}
{-150730,-822110}
{425600,-427697}
{858144,-216268}
{-488593,-87398}
{684358,231636}
{380947,-911935}
{569577,-618466}
{-27995,-262805}
{537187,-101928}
{-166040,531628}
{298863,-555546}
{-692473,428603}
{54731,843584}
{146701,-700542}
{921266,-794466}
{-283646,-164984}
{-179185,-820618}
{-833537,-406407}
{618642,438355}
{-641897,724943}
{-564196,-650805}
{842544,945674}
{670353,268567}
{834409,811830}
{737464,877318}
{-503192,221899}
{764178,988446}
{-564211,621201}
{800415,357802}
{623351,-443766}
{562114,-803200}
{664384,928616}
{-765975,-491347}
{-126656,-946499}
{892000,333906}
{-166832,103116}
{745611,-128703}
{-764394,699663}
{-803302,278528}
{636390,388032}
{50074,708531}
{111123,-104563}
{108472,-977834}
{912076,-242550}
{-60367,545147}
{980722,-188267}
{-784671,770208}
{-192437,-341925}
{-556117,-937743}
{-742483,707362}
{-480775,-126259}
{284644,-569037}
{777063,206771}
{395992,-541807}
{380333,-120223}
{-988753,-333782}
{549602,249107}
{-832329,143039}
{-160163,-742954}
{-156608,-826818}
{463172,-209953}
{428627,-76826}
{-100772,418730}
{-177696,-152892}
{61034,19381}
{876969,-243465}
{468719,-438}
{-335407,-595996}
{-860844,694743}
{76208,653930}
{-487117,785005}
{343670,-910610}
{-376895,816566}
{129410,290995}
{83448,260454}
{-637188,-735935}
{662399,343000}
{-720745,952586}
{-588088,391173}
{712486,373460}
{787271,861744}
{-287056,-551809}
{481170,789360}
{-668713,653387}
{474470,-106716}
{-30315,-921575}
{-833891,105659}
{651528,154256}
{187645,-873980}
{-205736,-363704}
{238051,323762}
{715357,-274874}
{529034,-422040}
{-477892,-214752}
{693361,895158}
{-318030,-302187}
{-102411,-17374}
{-638953,-513552}
{-571142,-820768}
{332961,513324}
{514231,-458344}
{797479,340904}
{30505,-354227}
{322473,-372710}
{-388078,-251530}
{289663,422535}
{120894,-184301}
{375942,352849}
{151489,400795}
{521287,476805}
{14758,-418828}
{524445,799114}
{700122,458054}
{852724,406087}
{679389,464472}
{-806514,464003}
{665513,-943969}
{643496,-257091}
{770305,-513985}
{985957,-244272}
{882242,-231361}
{-619913,227082}
{-227836,-873131}
{-545874,-29350}
{720432,435184}
{912592,22181}
{-405193,496145}
{367765,595727}
{-479741,-503471}
{-983035,-917454}
{-940607,282219}
{-127718,-734865}
{284888,-730576}
{899324,398875}
{-325923,214165}
{672436,462193}
{-673978,-770330}
{-214717,386382}
{-996867,160303}
{498671,-491233}
{-102215,18037}
{493066,-824555}
{-348930,-31175}
{-885610,-692042}
{-977532,-735098}
{-668653,866072}
{-308581,-308603}
{958541,-627809}
{58644,99293}
{581257,-407697}
{481066,-470052}
{450739,-444761}
{142963,-139018}
{-301339,-514135}
{549963,454170}
{141073,87759}
{-246324,-788426}
{-629400,-276267}
{153493,995641}
{426912,-69502}
{-620260,936991}
{213610,-87016}
{-273862,-790576}
{623165,170151}
{583887,215568}
{673199,842251}
{-756655,467924}
{315291,790441}
{-264445,894149}
{-178555,-760128}
{40850,-422852}
{947538,52002}
{-551580,781709}
{-277905,88470}
{-498849,736626}
{130818,786689}
{-254497,873319}
{-180501,-922469}
{702648,403865}
{-938324,-737107}
{760436,270180}
{-179773,591400}
{-952043,-529760}
{-373591,-478124}
{515785,-98138}
{-21886,436136}
{-402926,930218}
{814367,868152}
{-704639,-131642}
{-15481,600032}
{-569567,568884}
{964739,-608244}
{916949,-213807}
{-282488,-700367}
{8442,545163}
{-816408,-916111}
{-70144,923957}
{-807794,-90148}
{-690778,-357517}
{-224538,-173038}
{-709143,117319}
{36788,-195543}
{966770,386539}
{672519,822722}
{-387400,383787}
{826164,609554}
{-651466,-209455}
{451331,-54488}
{-769339,670603}
{-26492,-888356}
{-125351,294937}
{133041,-577533}
{419834,234135}
{-953755,281437}
{-329258,-999724}
{-391885,459562}
{263018,-4348}
{514811,-801271}
{723097,-956532}
{-250864,895079}
{532383,953694}
{-491401,128355}
{-244521,-119748}
{-219289,-316128}
{227974,-771817}
{-250179,901447}
{187793,-347912}
{947541,146353}
{890704,484559}
{853676,721264}
{259492,253102}
{-938821,479587}
{-408206,909580}
{342989,-668659}
{224502,6437}
{778061,-170464}
{289835,569369}
{786436,760206}
{-168642,-561707}
{101037,274257}
{-329695,-723126}
{-550361,240464}
{445353,465404}
{955190,-410678}
{-809390,-907034}
{-307677,-678752}
{717546,102280}
{-318751,-364824}
{597374,358129}
{-516732,922598}
{882494,-703999}
{-542369,-601207}
{-613222,-984583}
{693980,434216}
{-940793,-267107}
{-431533,426489}
{-756880,176641}
{420211,235696}
{-524238,-658887}
{-572870,936865}
{-286834,143988}
{103280,429337}
{-151699,-822116}
{-846875,-612139}
{70221,-877365}
{925017,311636}
{-571255,-552860}
{-749116,-367215}
{-929670,-535262}
{-126406,595522}
{661043,379837}
{703241,630170}
{817754,263894}
{-139095,229022}
{64551,891474}
{790105,-368116}
{806892,789724}
{904977,729903}
{839882,110935}
{620214,835083}
{248639,699236}
{-193005,135083}
{-228639,108223}
{-803745,-775517}
{935216,-62433}
{987485,-924711}
{939074,-888987}
{295249,-997254}
{-341545,487121}
{-661745,-347605}
{167260,427627}
{969167,618640}
{805383,-263073}
{-510407,-138731}
{778927,8766}
{270285,-655063}
{739507,-701879}
{282887,-810135}
{-23811,939652}
{-477903,934358}
{-276362,-594651}
{940712,754748}
{-279598,-312313}
{-325031,717212}
{109559,502787}
{-468574,361093}
{-587681,-522361}
{896034,867369}
{-209647,-477663}
{-713901,869997}
{-32922,98881}
{149684,459489}
{-753683,688690}
{793697,-751640}
{387526,965462}
{-286216,974455}
{-813349,-646222}
{240026,-557748}
{217026,667901}
{991221,181452}
{89665,4157}
{438424,783240}
{66795,-628008}
{581530,-367374}
{610078,-959128}
{566812,641551}
{692003,187547}
{-436841,-465125}
{276140,-446867}
{-262078,-59012}
{-978807,-718884}
{-326481,992215}
{-136852,305161}
{-986716,524501}
{-256163,-398939}
{-118046,-775008}
{888845,-145748}
{970481,-516794}
{928779,546623}
{358935,-710317}
{490178,-236450}
{480689,192609}
{509998,985354}
{-492611,-59228}
{500735,-50876}
{928236,939003}
{840347,630773}
{-24461,-250567}
{-393566,28530}
{-766468,-648105}
{-331186,-941509}
{912319,-242250}
{724213,-402768}
{897796,-27962}
{-827395,-492922}
{-555323,884994}
{230505,860143}
{653162,828938}
{178704,845144}
{-289682,22575}
{-417519,-184843}
{767114,90455}
{-427038,964864}
{-845365,968250}
{-800380,-109841}
{-373638,-474888}
{227724,-680364}
{925926,568300}
{-646782,-695758}
{2946,-45401}
{888089,-930846}
{897121,-846321}
{764485,188039}
{-931940,727465}
{501459,-714069}
{-110767,-289327}
{-72510,-208442}
{-289796,-542440}
{782608,-948336}
{409378,-895727}
{269318,348985}
{-265192,-397920}
{484277,712534}
{-912856,-389591}
{-23944,97821}
{888876,-528624}
{150545,869710}
{790116,-770785}
{-886200,297689}
{-196218,-955042}
{-326096,312538}
{224935,261316}
{337161,-599619}
{-517898,416018}
{-642202,265364}
{606661,-47248}
{674418,199751}
{559046,-106630}
{859367,161092}
{-158296,-370180}
{300045,-239993}
{135040,523384}
{497237,246557}
{-861897,115258}
{-157242,-443949}
{506800,-156927}
{-488247,487467}
{-740429,-660500}
{864445,376916}
{-593504,-295226}
{-207547,-194638}
{-872588,124257}
{661904,-783116}
{-637285,-53370}
{258062,-290573}
{-435483,75963}
{-370066,817911}
{-390177,-54309}
{691919,185667}
{595843,-112834}
{-915130,-944951}
{-354491,-714944}
{-57656,-648043}
{475089,-311565}
{732383,-808724}
{761112,-238784}
{148980,536035}
{771375,-39568}
{63317,275916}
{501338,-67361}
{-514875,89132}
{-476409,353618}
{530174,849851}
{62374,-781315}
{-550085,993176}
{-3217,44961}
{-54261,-521342}
{-830236,-151593}
{-822607,853574}
{-641423,-26305}
{888034,-499881}
{-1789,-198760}
{-635543,391832}
{261678,223794}
{276169,908539}
{852339,970015}
{-819356,-492459}
{30779,187873}
{431919,387719}
{-5947,985583}
{296914,798750}
{851207,-911531}
{-286179,752280}
{-398699,813462}
{64381,-234332}
{-343183,-532473}
{628459,727311}
{543670,794396}
{-127306,954674}
{134188,-142888}
{686273,-77383}
{-135961,340026}
{-233763,814002}
{515062,-389048}
{822165,814926}
{347750,243416}
{720966,-9068}
{-582793,794021}
{-565623,391037}
{799248,901926}
{-342419,-646957}
{99400,519501}
{-670862,-805898}
{-462246,-530667}
{-765903,556866}
{210190,654760}
{-259289,477397}
{295358,610048}
{-132249,-13757}
{811508,153214}
{904683,19479}
{-45424,587139}
{608381,-197020}
{531890,-112884}
{-416076,-368215}
{-488103,-386210}
{-272265,-370501}
{970224,-566141}
{-519825,-278833}
{172766,895075}
{46975,118217}
{-462375,888543}
{-339882,-108384}
{753520,966837}
{413061,-628057}
{379551,295189}
{816818,-983125}
{-476993,807729}
{-488793,-621332}
{194046,-348118}
{285131,-880413}
{988096,101435}
{221584,-821441}
{442189,537509}
{-727651,285588}
{-917332,-247110}
{56262,-875792}
{378315,302736}
{717410,-739097}
{67395,-143661}
{-88522,-927113}
{-118729,345216}
{503754,569522}
{-242621,827209}
{203572,-67690}
{-963908,282333}
{72073,423822}
{-380460,-946947}
{569583,36692}
{857180,-90190}
{-531213,-782018}
{-994844,109715}
{349225,817302}
{66331,-512949}
{-639563,-796373}
{-22752,526004}
{-654377,836146}
{-981604,390988}
{-104546,-805149}
{819230,334804}
{610769,-86}
{-770240,852503}
{-968306,466824}
{-429193,138891}
{-111021,113624}
{-419871,-605441}
{196116,660806}
{362452,-220799}
{666214,-687319}
{770919,-883255}
{707196,285780}
{-379904,738457}
{-436706,-102049}
{-875192,417992}
{-155079,-123652}
{-111405,9251}
{120834,251071}
{-754891,-667976}
{521402,-116974}
{415425,-910731}
{226011,-227206}
{238769,-691010}
{279494,948379}
{196111,-205517}
{691198,727198}
{627913,-945175}
{385927,569120}
{436079,-171981}
{-529629,281793}
{-81383,-199245}
{-824464,-270276}
{-623752,-374519}
{969381,-798037}
{533888,-783608}
{-323859,-239665}
{869577,940528}
{-329332,-204601}
{713623,-290092}
{69968,-77159}
{-73159,564168}
{-71893,-676833}
{105415,44094}
{850166,-226210}
{-732404,-155945}
{907558,509450}
{282892,677765}
{-396908,-602079}
{725102,-31106}
{528451,-439775}
{-723877,-618638}
{804628,330783}
{-530085,-154265}
{-847276,-577322}
{-500255,-38526}
{-528511,885730}
{325351,87606}
{-180273,43165}
{48250,996692}
{506651,-426908}
{-814204,992878}
{281887,-347144}
{343786,-197804}
{-63275,162907}
{-37368,-279427}
{814895,121790}
{-502895,753021}
{-445957,83279}
{798102,958638}
{683356,862131}
{209951,-417937}
{-180467,-180352}
{-386856,-953976}
{337869,-583394}
{-712748,887308}
{-34843,455863}
{-83743,912933}
{757280,-312739}
{-871998,277456}
{867018,788800}
{-473085,455624}
{337040,170217}
