{276110,-958760}
{464576,-851336}
{579817,104119}
{197890,-840402}
{-368578,474861}
{-215236,-363238}
{811566,434278}
{-898807,653608}
{560521,482841}
{703195,-907796}
{922906,178786}
{468819,436543}
{678009,993076}
{-942223,188422}
{859887,121221}
{803207,708643}
{-930097,425822}
{-562658,434802}
{864031,-124859}
{-188275,207245}
{509804,278028}
{-75134,724315}
{-607650,-212213}
{657364,-811583}
{-149338,739252}
{89521,716060}
{824641,-804902}
{-439319,-397699}
{730967,401149}
{179176,-259621}
{7998,716183}
{-429689,252822}
{765170,-291024}
{203126,-326743}
{885001,559182}
{180789,-273441}
{669606,-273355}
{-837053,-154108}
{41809,28912}
{916555,-50525}
{310807,-573415}
{385631,-60198}
{-587300,-594950}
{-94759,-235343}
{-579981,-131647}
{-560174,299083}
{-674545,-73481}
{-128228,-828322}
{984056,471467}
{338892,158817}
{-669545,731280}
{-659157,-565669}
{475321,-211669}
{501570,-155977}
{838747,804212}
{-871965,961509}
{552769,-262704}
{-483140,-854852}
{212287,435489}
{552754,666080}
{-216972,100568}
{-388500,931655}
{4503,-749719}
{-405398,769486}
{-144202,-886828}
{490710,-298526}
{-846310,611440}
{-772171,464136}
{155267,-226183}
{858250,-808012}
{930703,776220}
{-787457,849766}
{614894,-595999}
{-996772,845600}
{665539,-760643}
{771557,945352}
{344981,-507589}
{-884871,-584483}
{910330,-188672}
{943406,-666443}
{293530,-182403}
{-193965,651881}
{-522041,-334213}
{192799,738921}
{488098,259510}
{-80609,225540}
{-723194,207223}
{971150,743399}
{654606,73479}
{990803,-226575}
{-693381,-843440}
{877351,942460}
{347368,-775417}
{-564462,-455914}
{415169,472755}
{-536802,-687996}
{-697453,-558479}
{523833,-238097}
{-864341,-140391}
{700895,-144138}
{803321,513239}
{439011,-692437}
{-632290,-277496}
{-418343,878999}
{245465,322550}
{741030,23509}
{679182,-902560}
{-283750,946838}
{-484752,491852}
{947729,-296441}
{-867980,786108}
{539428,920618}
{139582,-591189}
{-322313,522981}
{-815597,-418569}
{-990738,704917}
{343982,-917751}
{381057,390227}
{-306627,53857}
{-359940,-667946}
{736141,898635}
{392331,-96946}
{884155,825774}
{399421,-868880}
{-245958,-72111}
{37819,-913050}
{157171,709000}
{-978381,-53633}
{-673078,-809974}
{410881,791835}
{459434,-206925}
{666799,-639256}
{-899433,-576771}
{692204,800197}
{-493726,403486}
{-923140,705128}
{-927886,661625}
{940521,-670801}
{108067,777309}
{-990530,-724621}
{-646431,-864213}
{828211,-706510}
{-692105,831042}
{85613,-211461}
{569770,389263}
{-363544,947244}
{974789,-283475}
{659617,-410777}
{-346486,163181}
{-939399,-52131}
{-498185,765246}
{937842,115795}
{-886792,573399}
{-602121,-758946}
{245195,579225}
{-569016,-247857}
{-783491,-127197}
{317728,391390}
{-99500,918211}
{651842,-581951}
{576064,307468}
{675992,-273593}
{627333,381496}
{879819,-148850}
{77391,904698}
{-492375,-729532}
{-971224,-147715}
{237247,-680198}
{922014,509994}
{572578,556191}
{-673404,-914759}
{-604040,-216531}
{-376655,-595049}
{417317,979404}
{527822,-530104}
{375283,578379}
{234965,-932301}
{390459,525953}
{463178,617084}
{541319,785647}
{-473344,787003}
{742275,-316199}
{412023,-553664}
{-93603,-121600}
{-257414,-654611}
{60892,-230234}
{-658273,628286}
{717932,-117564}
{831626,-118934}
{-707971,-362496}
{-799936,-944298}
{85201,-740606}
{638299,508987}
{612778,-778759}
{105038,-989142}
{-339475,-532745}
{566771,-263500}
{605312,913235}
{-579156,-817285}
{441930,-525472}
{-471606,816418}
{773680,-355434}
{-520719,738686}
{-488281,-68292}
{441609,848293}
{-994789,-970667}
{137559,756800}
{-864340,178216}
{835230,938829}
{626808,524625}
{675837,44718}
{53240,-737669}
{963303,578768}
{865988,569033}
{374383,101534}
{126603,93167}
{829882,-89240}
{844757,122714}
{-877176,721710}
{798943,-462263}
{82338,757335}
{108963,470372}
{-170699,-240567}
{888656,-777635}
{-884229,175226}
{-999240,-286578}
{502372,362328}
{-986166,-582058}
{-384120,-535328}
{184259,-13427}
{-577606,652261}
{624728,-703297}
{-333770,756442}
{213462,-764923}
{-569806,535647}
{470341,142973}
{494096,384543}
{-684001,-33312}
{-170464,-764866}
{152468,822649}
{383684,374745}
{-659108,349978}
{-785418,-784885}
{40328,628718}
{-124658,731278}
{-929731,-107264}
{968663,-932386}
{-377292,162866}
{371122,-395121}
{677279,-259143}
{-667723,-236953}
{8883,-279473}
{-397431,460701}
{775340,-945856}
{-958595,902132}
{670274,-615362}
{121109,590125}
{274080,298083}
{-930294,686852}
{-919207,-109717}
{495574,-643799}
{656883,51915}
{504894,988363}
{-56043,-253561}
{132705,-494040}
{-211452,904087}
{-845658,-599422}
{-75762,81502}
{-798057,360749}
{351954,-625914}
{-885211,587513}
{736499,636906}
{-684760,-312988}
{960067,-556457}
{326511,89087}
{383516,-492109}
{-414390,155010}
{784022,-178689}
{-913700,128984}
{607275,-37901}
{-415334,-706746}
{604962,-699624}
{937580,-370745}
{477800,-502668}
{234211,695532}
{-475601,687464}
{158921,557999}
{-100837,576730}
{-502288,410071}
{-65176,75721}
{-416904,-842350}
{-827820,823892}
{-39694,598762}
{-430642,-941595}
{-139672,874259}
{-132492,-793679}
{771462,-779028}
{-350442,876392}
{819716,699049}
{582258,228065}
{-560863,-692745}
{150051,-99567}
{652432,-567231}
{-943313,456702}
{120157,69910}
{608979,274944}
{183542,-594728}
{-15433,-424750}
{686619,-604800}
{-270333,-163391}
{-678193,-744688}
{128529,-854779}
{955620,-237785}
{870991,511791}
{-5221,-338831}
{-447811,-115450}
{-918075,-489598}
{943117,629672}
{902110,-761315}
{-94249,-797825}
{59281,651465}
{-548338,-21803}
{-269773,92713}
{161214,-889012}
{-446913,786196}
{68596,529838}
{308726,-38343}
{944245,-489842}
{390276,-970797}
{823061,-10672}
{390234,-328917}
{-830049,-149236}
{115037,703990}
{-351298,191338}
{-561979,99998}
{584348,-546747}
{-768146,-913238}
{28643,202540}
{64294,-488824}
{-786385,-208303}
{-573491,-122055}
{-664620,621813}
{-61574,769820}
{-867150,620546}
{-834110,263501}
{494691,318628}
{-552996,-490328}
{-445512,277802}
{-129423,-980792}
{-231749,-57639}
{-361413,939246}
{144024,-900858}
{-130572,-877886}
{185897,-702748}
{-522466,596773}
{-410206,-505480}
{792931,-370670}
{-607374,355002}
{-255767,234349}
{-891037,-414924}
{-336563,-165371}
{526323,261352}
{-579694,-535265}
{-251199,48027}
{564015,-624309}
{-847006,177175}
{792058,539562}
{-583729,-223202}
{802795,961251}
{-775191,414904}
{117726,-863283}
{-27912,-450055}
{848506,-800316}
{572173,835282}
{-907514,-565824}
{884829,-930033}
{-214597,-53738}
{150883,-381671}
{937310,-156035}
{-193262,-594149}
{198952,-774278}
{890454,653855}
{21401,844707}
{45702,-630851}
{-703020,287085}
{153230,-122512}
{-432209,611261}
{-403136,185737}
{118372,-410212}
{-88073,362290}
{320743,571203}
{500234,-663743}
{886643,-575655}
{656583,167411}
{-495214,751261}
{-502580,537437}
{415512,-185275}
{-48713,-168557}
{273060,-772900}
{-941814,13545}
{424469,-905327}
{805868,-206841}
{369909,717931}
{-413598,530440}
{-240015,888193}
{300279,-695184}
{315009,383632}
{941725,122276}
{-23377,484243}
{-137340,-167324}
{-649185,416737}
{-177622,-410392}
{699892,743365}
{-392334,92009}
{425132,1164}
{-428318,770049}
{188042,-317938}
{945376,-351131}
{-889017,-175842}
{270543,2775}
{921819,489105}
{703188,539994}
{-612254,532175}
{-183098,-10765}
{75013,-215022}
{332465,133448}
{-371019,-806620}
{-932524,130496}
{74033,686993}
{237714,461039}
{805144,-927539}
{813936,396381}
{304006,-946337}
{696055,-376451}
{-907575,745635}
{-510964,-731439}
{14231,-917718}
{-682417,657412}
{-890470,-994302}
{-41752,-630353}
{520584,-500728}
{174973,-839211}
{578749,-441145}
{-979476,-193210}
{-109513,801151}
{-8182,-797991}
{-43511,121556}
{-701474,-949522}
{-847098,-475695}
{845929,-623118}
{418249,-514390}
{273844,-909932}
{855526,693788}
{-688144,280859}
{-802569,335418}
{-191323,-763099}
{-253689,578991}
{-72197,-42793}
{303370,406670}
{301782,479072}
{64682,539516}
{183136,2979}
{-259789,-8246}
{660337,-526531}
{-528637,50641}
{-344630,128278}
{169117,-743714}
{-888549,-146707}
{-914144,-743055}
{62095,82984}
{-602932,291495}
{381074,214292}
{-442048,29043}
{358367,471676}
{210769,516884}
{956675,-608047}
{905312,486597}
{97136,-807791}
{179310,334}
{-954311,988594}
{-479559,-220034}
{-174958,-402409}
{425600,-40543}
{-138381,-771592}
{-999693,-529599}
{346269,-833895}
{-473673,-122962}
{-48854,342841}
{129192,-921837}
{773086,726877}
{280537,99458}
{-416010,499610}
{-647739,-549529}
{885097,38086}
{-217651,-305253}
{-791105,-350416}
{-729469,742947}
{-114998,219738}
{237242,851453}
{-708747,-587454}
{417270,-868992}
{38905,-179636}
{105126,560061}
{651482,816527}
{-182730,402004}
{-29295,-730262}
{459439,956790}
{969777,43169}
{718225,-207912}
{856238,532187}
{-390936,376093}
{-521224,423369}
{-270592,-520181}
{965615,-603425}
{869157,111737}
{-141455,-744478}
{-104066,-616811}
{339938,958667}
{-759744,291792}
{45878,-503421}
{577532,-171857}
{311044,-486699}
{372494,537632}
{790342,-892129}
{-752999,-373211}
{-694935,-342311}
{-185135,-254146}
{-386262,-584484}
{-336667,506940}
{-50121,-864910}
{-629075,-455063}
{-721650,832324}
{374630,86084}
{574410,42743}
{-99496,-509058}
{609954,449552}
{368381,112831}
{505629,878116}
{-417281,72619}
{-198870,-613579}
{147475,680064}
{-646558,999929}
{-56694,750312}
{-158026,-131769}
{711853,-981909}
{740841,-352185}
{193203,-297052}
{366745,2571}
{128793,273103}
{-923942,-558403}
{-819018,-165784}
{545576,21950}
{-60652,474911}
{382383,-478115}
{-288899,4657}
{204297,688364}
{-208363,-145439}
{752998,-631441}
{49555,586058}
{131776,852560}
{648866,-512421}
{191565,-643833}
{-284202,-136107}
{692718,-858588}
{-304437,33385}
{263366,-147949}
{-499049,-908053}
{860514,823254}
{-125081,59127}
{363209,797110}
{-388449,-654409}
{794687,-500747}
{-554021,675057}
{-235957,-648808}
{75511,365831}
{-354470,-963905}
{-561757,314696}
{281490,-90875}
{-600521,-788105}
{-295278,12829}
{341483,185185}
{29391,312445}
{-427851,559427}
{-904359,-298871}
{101861,-428080}
{-762372,-571790}
{-782739,-276598}
{167245,-445815}
{-14311,-604667}
{20490,-667105}
{632387,-749162}
{305361,558360}
{180098,-309072}
{-542394,-823861}
{759257,-921650}
{426884,-953730}
{-553963,3397}
{-994008,541294}
{934033,-200139}
{338487,-683614}
{-263437,498054}
{910547,649464}
{459372,-633304}
{-975576,845951}
{663928,-622491}
{-556849,-802830}
{972739,767273}
{761467,-866809}
{962072,-349234}
{205276,-579420}
{-88309,-69402}
{799756,111922}
{801701,-640118}
{-935196,-886430}
{-445915,-256157}
{-623088,750785}
{524827,-494775}
{617216,913250}
{286917,-769410}
{-453504,587355}
{-171243,132252}
{-670420,-51371}
{190883,-360715}
{-985994,-954628}
{-248516,277922}
{42096,571257}
{-210822,452685}
{-777497,438029}
{-267511,92178}
{-107462,-609764}
{-6576,-149314}
{118976,540389}
{-71843,-751724}
{-46480,961452}
{219144,440128}
{972675,-982381}
{966939,215115}
{-773606,409745}
{-313856,809751}
{700000,318824}
{-205448,-922781}
{430526,-27731}
{816868,683310}
{-864516,66726}
{-777247,424354}
{-625220,-368034}
{-430156,890408}
{-564923,938997}
{-316777,-540799}
{-264508,433972}
{36389,-907916}
{-819971,250858}
{-774984,-666569}
{-546309,-376278}
{249386,-143619}
{512916,-103178}
{462892,613995}
{-731007,845774}
{202247,-705300}
{-246830,137933}
{668368,459016}
{876104,-746639}
{138978,-458297}
{-9872,-37086}
{-723953,-237162}
{736047,259354}
{-873623,997510}
{957810,-179265}
{458444,-396351}
{510574,-978537}
{70246,338445}
{-516809,-589881}
{-63611,-732719}
{428477,-774950}
{-512224,941052}
{907901,-133208}
{277097,-737892}
{709548,-955723}
{-153261,-896911}
{-188198,-947830}
{-313833,-569966}
{228119,-81407}
{-635873,728876}
{-661276,-947117}
{947142,244543}
{401436,-473481}
{12931,780266}
{857182,-971438}
{445642,-468822}
{404817,-932605}
{91188,-621462}
{-79062,727835}
{253586,-201392}
{172642,-765217}
{563764,-905203}
{273577,-628959}
{455042,911480}
{166510,937548}
{-542563,-565660}
{-127587,166328}
{265872,-73193}
{-79593,-661087}
{383892,-582802}
{-479929,413686}
{-346541,-313329}
{206248,-807748}
{809886,407435}
{-666901,837145}
{-978483,926786}
{267247,-219932}
{672661,345606}
{-532994,-606060}
{-121456,-911085}
{-170265,-632014}
{610738,954623}
{-131711,765910}
{-739104,168269}
{-799067,212987}
{-709434,-142816}
{354884,-158961}
{186763,841044}
{825877,374179}
{512506,751253}
{157567,272910}
{209857,-458520}
{866379,999150}
{748600,-336739}
{-927840,-98323}
{602746,508631}
{-930924,-383736}
{767109,-124645}
{-170650,-858347}
{875733,-426429}
{506873,317923}
{604543,877456}
{-187361,683984}
{-433645,737229}
{112422,-326497}
{255953,322707}
{848698,-844109}
{-534918,-466541}
{-696115,-815764}
{994625,-870039}
{187497,9091}
{783636,985710}
{-385783,294088}
{-763350,-105337}
{353346,854977}
{219982,448555}
{661480,-253753}
{476036,-875089}
{-196313,284674}
{148998,-394505}
{582591,695017}
{860887,994986}
{-749800,-620997}
{-726979,-404378}
{-333869,-563062}
{-818922,991938}
{-840829,-32181}
{-546995,524607}
{152279,31023}
{538477,745898}
{-912971,-295056}
{-954945,-28406}
{-394565,-135717}
{-548117,-265720}
{404265,-897271}
{243087,636344}
{678500,445531}
{211876,-60750}
{595322,-764795}
{573741,357579}
{-903169,218790}
{620950,877230}
{300911,-13473}
{233376,494863}
{-317185,-684351}
{-168820,172406}
{619408,-832908}
{248900,198452}
{202281,640353}
{938752,-885444}
{329080,820659}
{-67234,511332}
{-774414,950479}
{-459283,707376}
{578584,-790338}
{-249268,498052}
{924532,311778}
{-692985,621444}
{133138,621520}
{-276123,621790}
{-365533,-993771}
{732151,-422006}
{-759929,656717}
{-719633,-979246}
{-811672,-25945}
{-525245,82219}
{126489,895754}
{355090,453149}
{-126809,-582437}
{-185064,-688193}
{253785,-991190}
{18177,-173079}
{-298457,371504}
{883412,583}
{-675961,412513}
{932379,-788672}
{868079,955146}
{412550,516636}
{506747,195250}
{996759,873272}
{-85852,-637417}
{-735497,-497664}
{-571336,479507}
{-812837,599901}
{676287,252557}
{716884,-310670}
{-795517,267053}
{392749,605991}
{940599,-966365}
{436906,124552}
{-411203,-30456}
{909237,941953}
{703903,229858}
{482202,-681416}
{46447,106993}
{-125793,436297}
{993390,-260986}
{-903688,957038}
{26596,-575928}
{654849,-558355}
{-230889,-816538}
{328740,-27809}
{483421,-851383}
{366285,-194105}
{-208839,826969}
{877629,-945916}
{808498,-877056}
{-39722,859098}
{-742122,20702}
{210586,483048}
{701813,821721}
{-140608,464770}
{507916,980473}
{-112743,-326767}
{-966730,421587}
{-157732,-314062}
{-993318,7714}
{-901775,934910}
{862191,-190183}
{290955,-389244}
{-465192,-702914}
{-333102,54674}
{-270502,-343281}
{-793944,365086}
{510607,-28163}
{419060,15968}
{238202,-321047}
{379605,-846528}
{117005,-459730}
{-616121,-786937}
{-27664,351855}
{306061,645868}
{-645240,-747549}
{155603,-382549}
{488169,959962}
{-450886,-231069}
{-874431,-54997}
{242202,414173}
{490652,-91475}
{-519968,-131879}
{929874,-229508}
{161445,-34779}
{-834153,517387}
{801231,889930}
{476253,721710}
{-786861,-988323}
{-420410,592724}
{-854139,624085}
{-604032,424986}
{502649,-933590}
{454507,658839}
{-236430,968397}
{493695,949638}
{344488,-76567}
{573255,-742274}
{912394,729905}
{-738451,318900}
{-133156,-614900}
{-740464,-361899}
{341006,726576}
{538900,-633755}
{-169671,-685284}
{-416612,170319}
{-793917,363930}
{-92114,-810466}
{453819,331432}
{-217602,689676}
{542125,911808}
{-129462,1411}
{-292883,-42059}
{-114252,-75499}
{668101,-477535}
{640758,22483}
{231864,807359}
{565745,-526574}
{-431784,225893}
{-502443,-860380}
{-913999,-60319}
{-151815,973419}
{-93746,98630}
{-775952,-347580}
{-993529,494281}
{-170471,185642}
{-977735,200500}
{157338,-831003}
{-481817,136587}
{-27140,972048}
{-79458,-373890}
{228791,-900225}
{394908,-781593}
{452358,-204633}
{415769,-465768}
{984512,681444}
{-706592,136959}
{-446535,373117}
{735183,418402}
{986978,186293}
{-750130,-984264}
{-972120,188077}
{-631029,-997996}
{-469115,-118867}
{-497469,427937}
{920332,506996}
{-585061,-619488}
{281022,472422}
{-810665,270637}
{-682582,207672}
{112559,447650}
{885106,-275880}
{-377842,-363576}
{-541871,-953688}
{314468,217468}
{897455,145140}
{183574,9402}
{-874492,216765}
{-941241,605724}
{267931,764418}
{622421,462446}
{-517065,-809722}
{-507807,945523}
{235578,631880}
{24939,-322307}
{895356,441980}
{-240486,218440}
{-966307,191189}
{629351,271517}
{-69768,-14948}
{626927,19835}
{-88132,800158}
{329996,-49501}
{-180036,-617445}
{57684,-965938}
{-337242,131217}
{-810763,150007}
{520972,-13604}
{680925,10403}
{-203654,-400628}
{-970025,-796000}
{941611,89081}
{-286328,541785}
{730645,627162}
{-631234,-458937}
{-497623,-300104}
{24480,947604}
{-158067,280284}
{316861,796651}
{526728,-294765}
{977749,473625}
{-546550,768300}
{-914954,-329989}
{-736777,109622}
{-496098,989392}
{-442457,819255}
{382959,536288}
{-538635,-759741}
{704601,-224777}
{852651,947434}
{257312,735679}
{944514,755345}
{-939527,-131775}
{-51411,-659800}
{85434,862556}
{64139,-658952}
{374161,538390}
{-913805,549914}
{281744,683704}
{-130894,703867}
{-702284,970903}
{-305171,706564}
{-863788,-533173}
{-709915,-215166}
{-594353,347885}
{-239378,-679273}
{-183392,302877}
{320524,-421705}
{-879385,813502}
{-60307,-575160}
{-607684,852022}
{-818957,920173}
{339242,-921467}
{-165856,136740}
{714,-700533}
{483359,899545}
{-551843,547298}
{-751610,-536245}
{-267789,-676891}
{492452,-500055}
{383620,-928813}
{59260,935724}
{23668,418212}
{795493,869771}
{549301,-959486}
{576525,178703}
{920995,-449558}
{-489656,245139}
{-889635,-459750}
{-758003,-45867}
{-550229,-325696}
{818834,693056}
{649534,-706044}
{185269,588871}
{-777339,-38208}
{-25040,177268}
{-975798,-900568}
{-32491,-70968}
{-447513,-928441}
{-110630,-671480}
{311036,-504721}
{-299268,-639568}
{169019,862101}
{-479623,-627234}
{-676388,744719}
{-511235,810099}
{-212352,-780594}
{-915534,601646}
{866596,-759875}
{236957,242470}
{-595718,-637034}
{662440,86260}
{-829068,84704}
{-646666,336049}
{188840,-218999}
{-87215,-367942}
{-964010,-119673}
{45758,-162440}
{-985215,-753816}
{-100740,-541979}
{-189554,-788610}
{-558485,250736}
{-759801,-370197}
{-327378,-319325}
{-384455,529353}
{-319641,108688}
{528266,-989508}
{221079,77313}
{676669,-283851}
{-509081,500977}
{-522821,-634396}
{127812,-660086}
{392718,-979480}
{918230,-54213}
{469171,-112501}
{-612206,137881}
{55737,-42526}
{-956320,352198}
{970176,-847839}
{-458813,647254}
{734361,82389}
{-714901,136084}
{-217323,911320}
{-956900,636903}
{470933,614453}
{-259931,943391}
{990243,-846593}
{817652,819085}
{-639080,723102}
{75076,-56551}
{144770,-121927}
{17071,632805}
{-956759,952255}
{-250906,483794}
{723873,-208702}
{861232,-612036}
{447760,372791}
{231321,815235}
{915712,-996260}
{732991,-457785}
{-913320,461936}
{342683,923873}
{313115,-645078}
{678861,-193157}
{-110749,-167956}
{513789,-755161}
{-957352,880783}
{-898984,417090}
{785606,976529}
{-343255,231842}
{-551475,349216}
{-652533,875456}
{145319,660851}
{-545101,125606}
{-167432,-229794}
{381955,-397218}
{525910,332847}
{-311147,-44034}
{478607,-129956}
{972622,449920}
{-85821,814047}
{45281,170373}
{-983041,316128}
{47051,-51054}
{124091,960626}
{504088,-853359}
{434909,669333}
{-25724,562470}
{-748523,260966}
{353169,525017}
{350006,-219704}
{-72989,7017}
{-691659,150818}
{-9301,-733940}
{-505990,-888741}
{41024,-680258}
{-864726,620350}
{891064,-554104}
{-505010,-156626}
{-563065,812079}
{-649785,-5968}
{-4072,-621797}
{-661680,-78775}
{-480246,47749}
{-218757,-81365}
{-331964,-869389}
{-927776,970472}
{-226656,301062}
{263946,572527}
{-83937,296581}
{-741859,485320}
{652889,85575}
{-719668,499965}
{-320909,444104}
{-950867,295024}
{197125,-90963}
{-940116,247589}
{-376312,-288168}
{956526,858774}
{-343557,-518059}
{148289,151855}
{-942876,-754882}
{529034,-589765}
{-682991,-224229}
{862717,647158}
{571487,394197}
{-227313,-692924}
{-234318,152594}
{784505,370305}
{937408,-139621}
{212091,-748099}
{-447112,-36686}
{481145,-585855}
{-619169,-617642}
{-270021,-935852}
{558547,-923946}
{429894,70430}
{456435,389241}
{-976437,-600606}
{-628167,251876}
{-321135,-198941}
{336282,-823786}
{645648,629142}
{885082,-65744}
{-365836,-719275}
{-383225,-527796}
{245856,820210}
{-765694,-501834}
{-428316,64131}
{35857,-370901}
{166053,922698}
{-71628,-884609}
{-643115,296734}
{-712399,-423001}
{471430,-350777}
{-833795,842452}
{590384,-545209}
{-312999,-344744}
{953152,48685}
{255882,17742}
{-55675,962337}
{-657505,763328}
{-147046,884558}
{485214,-279950}
{152090,-220338}
{259768,981140}
{351023,793197}
{-481617,-542902}
{125414,-342366}
{-927574,-430353}
{-219798,-92458}
{-560418,-817609}
{-197567,696097}
{640029,-225752}
{-225560,116456}
{-348387,-799968}
{201594,-293719}
{248027,-722286}
{557481,728335}
{-187153,348906}
{620890,397554}
{-759237,770469}
{679254,247472}
{-64782,538442}
{-189773,-914044}
{74732,461123}
{969574,268611}
{772400,578445}
{-699518,691206}
{636304,480550}
{348600,380197}
{293960,-716758}
{-269299,477031}
{-785631,13242}
{-646111,430429}
{454868,848799}
{-21871,-131639}
{-520178,529230}
{377209,319159}
{-346565,-191901}
{-703717,-996894}
{607086,-281549}
{847488,-227204}
{-757851,-975241}
{134506,-993395}
{-274566,-41961}
{432051,841444}
{434035,431479}
{702276,-664098}
{994008,-118055}
{694624,662350}
{-939762,-269194}
{-299968,-765951}
{-303712,226309}
{-206030,551378}
{138095,814816}
{-929730,186731}
{461560,-283730}
{650047,-127157}
{-620670,701075}
{-695939,-495172}
{793436,-772412}
{344732,676529}
{-825147,841699}
{488758,197111}
{851716,-625000}
{-463920,-128569}
{-185507,-523727}
{-815168,918095}
{295878,-645067}
{532795,-123438}
{849939,631316}
{30564,-326012}
{-346267,421041}
{740168,931776}
{416252,844119}
{992900,-877021}
{-971219,-447888}
{-399181,-898954}
{-573461,-106315}
{395695,-4804}
{-420338,-589147}
{493955,604680}
{494923,-660126}
{248010,295100}
{96232,-760241}
{-832813,-263032}
{226461,528797}
{838673,-919616}
{477947,938017}
{548184,-400608}
{28493,567929}
{634880,532731}
{124515,-263524}
{989164,400599}
{414402,-393279}
{499996,-30584}
{-340157,-986844}
{29796,-968447}
{485184,-853293}
{917903,888175}
{-197494,555243}
{-196753,439282}
{-922237,864229}
{-663955,-437174}
{-381913,929452}
{848467,-988499}
{952773,9212}
{-746314,468591}
{-86083,-167465}
{-16674,893991}
{-476306,-398141}
{-690032,662872}
{-296330,-483654}
{-8720,33946}
{-832442,869166}
{459045,41063}
{398589,346464}
{-852274,-391172}
{-35672,-987340}
{-661627,797649}
{-761034,139752}
{-790453,768245}
{-735357,238648}
{-12165,-258028}
{-525238,863016}
{363446,-224590}
{-562000,-124822}
{899140,-700082}
{759271,-466926}
