{898669,-975226}
{263507,379577}
{90465,-340710}
{884267,-282506}
{-891662,198219}
{371998,565716}
{279769,-803801}
{667923,29809}
{-432450,-117518}
{519994,748917}
{191406,614365}
{426969,-434807}
{1815,-224977}
{-54490,322464}
{831581,-868976}
{19168,-555657}
{446880,-666074}
{170269,614331}
{60114,-437348}
{-162565,-842713}
{-60679,-538194}
{-376882,-486428}
{505422,-226465}
{291186,-494707}
{-455297,-223438}
{-612770,505741}
{-584964,-678467}
{370743,-911909}
{-107368,-583591}
{-347759,-692713}
{-462421,414769}
{219798,491673}
{-588755,819161}
{71379,-392908}
{-823489,-922371}
{-111053,144153}
{839880,221171}
{-834762,77817}
{-870060,50790}
{-920561,-283452}
{-294573,747839}
{-983013,59294}
{-249120,-519232}
{-852944,-615594}
{-428127,398961}
{787648,560072}
{6363,-784565}
{708823,473238}
{-207628,406348}
{398822,-515640}
{-965807,-526615}
{216755,-30072}
{-15972,426271}
{-461309,-498327}
{634203,-913096}
{-387906,-383420}
{-644409,-823173}
{-773910,209672}
{892184,595465}
{-915495,272321}
{610068,772086}
{-721933,-539049}
{71802,217659}
{-875476,-92241}
{909347,-81615}
{772727,459971}
{-583073,-292348}
{717971,-467032}
{300259,-399414}
{-546529,378326}
{427605,115039}
{-234064,859965}
{122694,-863666}
{-269865,-78830}
{-416070,388503}
{972847,-462078}
{613153,295297}
{-836954,296512}
{825107,-86138}
{137331,-758080}
{406181,-673946}
{-982380,565983}
{-160952,-532489}
{-328521,925404}
{-374557,-138353}
{449821,-994569}
{-883416,-371097}
{-63808,-799272}
{269420,-183034}
{-781491,-650248}
{740503,594741}
{-695802,-529196}
{777843,-318868}
{620914,21090}
{431142,43575}
{521364,483438}
{-353062,-42583}
{-452489,76995}
{-912567,-780514}
{228878,-715727}
{-495757,-752883}
{866531,658000}
{-684661,311121}
{62921,996809}
{-498030,-550536}
{769223,180508}
{854765,808657}
{789230,-127361}
{-77477,-438657}
{691216,760179}
{316730,-100400}
{384357,-795635}
{173599,869905}
{529199,-143110}
{11434,504604}
{994650,122650}
{549207,-534633}
{694962,134798}
{403109,909843}
{-850907,188352}
{-88645,-967328}
{-627170,38805}
{580703,476267}
{-693873,165977}
{197222,2001}
{-32419,422375}
{371998,741494}
{-556193,765910}
{-506602,299680}
{880673,809375}
{-881894,555227}
{-921558,-818845}
{-940314,-47962}
{-476146,926761}
{321053,-108047}
{-116598,559082}
{125692,-793971}
{-715746,986239}
{407486,691904}
{-299668,-966322}
{-368593,731213}
{3119,-729882}
{-326226,719917}
{-230384,-103024}
{-656259,399439}
{500340,-488142}
{-964142,755368}
{-727793,-22289}
{-254472,-459624}
{-929975,618763}
{27433,736024}
{-654677,-132392}
{-736043,-201439}
{436007,-181206}
{-906626,182456}
{-695261,-730803}
{476747,-762823}
{-898431,181420}
{238763,702180}
{-756492,204375}
{403401,765915}
{-132393,758056}
{920693,191935}
{-663757,-121184}
{-631664,547224}
{-265591,-974458}
{164588,916294}
{-548208,-969113}
{-563481,-309517}
{719147,-771892}
{-45083,-811291}
{405065,-367843}
{-334981,-85322}
{-680711,-141926}
{773417,-321876}
{697388,310232}
{-63014,512241}
{-242820,-458998}
{766460,33742}
{-239763,-245251}
{-353652,212315}
{-427353,435159}
{-930961,-77891}
{85022,444714}
{-563371,448696}
{-759588,-131093}
{214981,-734570}
{-603420,66487}
{-828894,546932}
{670043,12513}
{257625,266349}
{-515528,9182}
{-186517,-922089}
{402570,990651}
{-255015,627794}
{-705041,371005}
{10082,345679}
{-418527,-799627}
{-967097,537298}
{295537,-598522}
{41356,946659}
{129289,616977}
{662529,279738}
{457551,-457002}
{-87180,-147757}
{679372,700359}
{-531858,-166091}
{-339635,346448}
{322221,-861917}
{-748916,354314}
{723664,334512}
{-321794,-648847}
{-594194,-951681}
{-780986,-438533}
{926694,-177236}
{887737,684319}
{-335291,179967}
{-25128,-532649}
{-723832,-448505}
{658674,-491599}
{-930954,-563432}
{613817,543281}
{-125088,843838}
{281200,259782}
{592890,737696}
{11029,403808}
{-656005,298985}
{-505162,604545}
{270861,185052}
{206940,-462187}
{-485849,-381852}
{-871179,-939039}
{636882,119085}
{-465578,-419770}
{-412205,954762}
{546338,-871982}
{-764282,220376}
{822366,-821749}
{-25585,112261}
{400733,-879331}
{246533,204024}
{-558308,352193}
{-861049,-406378}
{-384760,-743084}
{372392,-120262}
{-164521,21470}
{-182610,-605369}
{-703531,-139457}
{520114,180673}
{485775,-567433}
{839821,272708}
{289169,-892121}
{979252,-374817}
{991393,333879}
{-567018,794345}
{460947,-257610}
{-795784,577982}
{489649,628382}
{-156224,-72549}
{-435381,-625454}
{495552,558406}
{-433557,697946}
{-868532,308121}
{944592,347538}
{-522514,-540433}
{-107932,860132}
{-106902,-709551}
{-934351,475416}
{-372274,953846}
{481604,-361904}
{662580,198113}
{272755,-866046}
{989670,325931}
{-612291,-880259}
{-155742,-298476}
{-961812,556994}
{-844712,-695416}
{-681129,-676451}
{245844,-469379}
{-457214,-832368}
{778902,581485}
{-862861,147385}
{-570051,-145694}
{-256751,-902947}
{213526,427777}
{-655682,238362}
{15791,-938625}
{80165,475387}
{447790,287258}
{-37113,366252}
{917503,-176025}
{-214633,-275715}
{-195833,841313}
{-326220,790039}
{824415,370514}
{18155,282146}
{-421272,-813595}
{41046,-102548}
{691792,-651302}
{-394544,371582}
{149008,-960391}
{-329567,-854238}
{516091,-95560}
{589153,518691}
{984110,24308}
{-30630,983704}
{442429,665845}
{-80521,945849}
{768820,-223257}
{-175167,289367}
{-339245,-744004}
{-799633,-975822}
{631978,-808897}
{-682485,903529}
{464604,-480386}
{643798,293154}
{-850973,548002}
{-112404,-754397}
{-259296,417046}
{798093,-361170}
{-429996,-92677}
{-999666,755894}
{-602577,9394}
{-181014,-695990}
{337458,-95125}
{-118359,938512}
{-866421,-473583}
{266924,94582}
{-523318,846399}
{738963,-505753}
{357072,-624912}
{336195,607071}
{-83391,-160514}
{-70216,-134904}
{973083,-119648}
{-480238,973925}
{438488,-563539}
{-459614,555988}
{102937,-391770}
{-20299,631285}
{219536,342441}
{890825,226389}
{122831,140911}
{597267,643624}
{972157,-250204}
{-794953,766956}
{505591,-855522}
{676067,-148081}
{-278605,185355}
{-523365,-70334}
{-794782,-767765}
{844580,-464802}
{-137050,-767006}
{-558198,-348392}
{-211187,108178}
{209219,301355}
{783780,694252}
{935455,-471840}
{-12829,677782}
{687992,-711144}
{376090,-794043}
{530610,516575}
{-383348,147549}
{399512,80391}
{454115,-8936}
{576228,675303}
{238880,-964966}
{14167,788912}
{-154257,361543}
{-762388,945164}
{-21371,-738303}
{-541618,122674}
{630335,422300}
{-130886,314119}
{-450686,815137}
{-473692,373610}
{224000,-349815}
{131771,-132123}
{424691,92524}
{726118,999040}
{-865309,-600014}
{518941,-884460}
{-230215,-952980}
{340642,887355}
{-98742,-69530}
{-569147,-383655}
{-109078,-478645}
{-209877,710148}
{-417522,108379}
{-261293,461588}
{729434,232414}
{778156,190217}
{875438,-625910}
{-979900,-956922}
{-4243,-442673}
{-950250,326305}
{981482,-341233}
{-464523,252783}
{-254386,819531}
{604966,-427939}
{269494,-443486}
{581913,-856871}
{872973,-837276}
{970864,-709492}
{-635264,-232118}
{890544,330742}
{-488598,695972}
{-160020,610965}
{-696259,-715907}
{-491857,382827}
{-909320,188050}
{420682,869527}
{-985266,-192731}
{105045,-539238}
{673745,-724205}
{877620,-300278}
{426618,370549}
{107461,801803}
{-10477,-415463}
{-924394,524104}
{-386634,822466}
{-240307,122320}
{-115412,-784816}
{700193,-603909}
{-101277,-82284}
{-246333,744020}
{-392439,206469}
{-444472,744990}
{965907,359783}
{447658,-157264}
{-847127,-593101}
{-545672,-229627}
{171467,-374187}
{-195998,711610}
{-796189,423768}
{-167151,-627264}
{254711,-376270}
{-506148,-302439}
{-994113,937592}
{-611049,-705233}
{997630,755814}
{234625,-300563}
{-904003,826972}
{411587,241210}
{-959781,924166}
{669514,-856201}
{-159143,721910}
{-479509,-108205}
{-543561,-189264}
{849942,-364497}
{732657,862097}
{-645703,366040}
{757786,589910}
{-553809,609426}
{-758401,-520142}
{795477,752047}
{10864,154221}
{-468137,133249}
{710186,-900536}
{-135651,998370}
{-75279,839236}
{-552888,-860539}
{-816996,-104695}
{-46025,470008}
{835052,436196}
{661446,-540980}
{-601790,-764518}
{708090,149376}
{-869665,-930957}
{-955773,770839}
{727674,385239}
{769275,-349089}
{-997975,426013}
{910228,68049}
{-927008,767957}
{595453,455465}
{-424445,-406168}
{214916,-671485}
{-608039,-234788}
{948970,500138}
{-924660,-643363}
{-930142,865404}
{62478,-47744}
{69193,-641548}
{-926630,-910854}
{780221,-121134}
{676061,284071}
{-976799,608972}
{747358,-254844}
{-745,-90146}
{790608,758153}
{159598,-390437}
{-484415,-264772}
{-402128,689893}
{-260328,740217}
{-276671,-657083}
{157021,738526}
{69174,257988}
{485061,-238081}
{-934341,249387}
{-448307,720389}
{-418565,965622}
{-902744,-434518}
{-92025,721942}
{-522027,-925312}
{807639,969482}
{-717939,-455858}
{-873079,-108032}
{256403,-208819}
{757201,-872360}
{917278,839358}
{916977,-295347}
{58765,-548704}
{440956,196101}
{244247,-329673}
{912703,-957212}
{-784626,362572}
{-377470,-201770}
{-578807,859549}
{-639426,453287}
{-894054,601593}
{520176,12404}
{-5152,400249}
{298282,86960}
{-560489,143234}
{-721463,788206}
{423131,314552}
{-321149,-316246}
{-769830,-68712}
{-752533,91427}
{-460192,675539}
{-367635,359882}
{767530,-903083}
{885119,307760}
{-339041,-926306}
{390151,-393893}
{-197389,-486985}
{580720,226105}
{70088,317885}
{219641,402846}
{217881,994662}
{997216,448249}
{924735,514947}
{135604,511865}
{-926943,801415}
{-95760,585572}
{966164,640571}
{-618223,691475}
{-349345,-457604}
{507057,-719816}
{-317405,-783676}
{-180600,-823002}
{-812889,-652203}
{688936,-111496}
{178231,-877902}
{313982,151057}
{-774012,-46886}
{33012,-231359}
{519964,-840426}
{-829074,-363605}
{806343,587609}
{290581,668876}
{-969671,-783766}
{634653,983979}
{61983,689733}
{-834566,963913}
{454625,-92091}
{986264,-962659}
{990004,-806384}
{767872,786396}
{540537,-58193}
{-23482,-102353}
{110035,698961}
{750176,-336128}
{22708,-525497}
{-920915,-320077}
{-556921,-228501}
{-120220,-99333}
{-103556,-872945}
{236697,-249503}
{-322881,328332}
{648335,-314855}
{129679,-198513}
{-365505,480011}
{163551,284217}
{-760407,981527}
{578076,-27999}
{-348268,680005}
{-744465,-781205}
{228296,-100840}
{-973411,-927068}
{854944,779841}
{-152588,-820765}
{966108,-295456}
{175260,877456}
{600958,-231676}
{121295,-293720}
{-627439,707566}
{730914,939765}
{-560211,604351}
{820662,-144293}
{264404,367951}
{-763206,-481692}
{-839866,-265084}
{244747,-829252}
{-990365,-991535}
{-689950,307134}
{-206401,-518459}
{-892098,850832}
{-102501,114664}
{-982689,-785369}
{346722,-302213}
{-127756,-982155}
{186781,357897}
{-460485,682390}
{-132013,693949}
{863601,699111}
{282062,-868808}
{928631,605803}
{223127,-385321}
{-557980,-506003}
{-896662,658490}
{565930,24032}
{-60227,-240553}
{299760,926929}
{753440,365071}
{486910,-994422}
{915888,-616419}
{784217,737127}
{-23321,-38024}
{-773496,805694}
{817037,-794550}
{-504411,-217117}
{-72711,976919}
{590060,-306656}
{869583,-498314}
{-82496,-334677}
{668056,-213567}
{953258,-312273}
{584008,-924089}
{383798,-864768}
{760392,-534629}
{-331525,-374898}
{-801359,373406}
{627151,26670}
{-80784,-773757}
{296498,-841335}
{-748350,-5922}
{-943628,-588656}
{-749374,91469}
{1568,-800506}
{-858078,-205281}
{400494,-335934}
{509188,-552319}
{-751219,723190}
{714576,150215}
{118300,399221}
{-899155,-467073}
{475557,-703649}
{-478489,374362}
{696380,-878760}
{-338485,529753}
{861732,107771}
{500554,753009}
{-515356,-486528}
{161420,315232}
{-258178,-526110}
{483309,134148}
{129266,-903756}
{-962486,75954}
{204949,-437522}
{960211,842857}
{-379760,-408576}
{801485,-696656}
{-298188,-314828}
{641737,961186}
{980383,275754}
{816948,-322583}
{-572433,764399}
{-987636,-45208}
{455138,-908575}
{-214592,871783}
{-864995,812776}
{672585,-314734}
{-675900,632835}
{460695,551743}
{-234022,-602770}
{-960395,589052}
{-620262,227653}
{658355,384632}
{-804546,67079}
{489868,648597}
{9299,-177114}
{-236849,-540121}
{-81996,211028}
{-309368,-494922}
{-334705,-319982}
{822010,553407}
{-902022,622185}
{-39298,594657}
{552213,555592}
{-537627,778432}
{-757103,699013}
{-826539,-33098}
{-916509,-191301}
{576194,-402072}
{-883694,-907104}
{-295037,8589}
{310530,-673310}
{178392,-986279}
{-478200,-38963}
{397724,502980}
{-462141,-608249}
{438989,-35049}
{-553076,-282673}
{480912,732362}
{855443,-158097}
{894412,6328}
{-866666,-714349}
{-154353,615621}
{-911610,173328}
{-752689,-710280}
{706028,672376}
{-284215,15379}
{-328908,210491}
{-836352,632930}
{780612,-485905}
{-83107,-588457}
{-362393,-900814}
{-7160,-939345}
{604045,-937127}
{-53456,64916}
{644482,-642683}
{529226,-702349}
{-659890,-281800}
{845278,774713}
{-150541,841252}
{-805118,-907890}
{-429316,-852921}
{316021,-902136}
{-230242,959836}
{-338929,-106304}
{-405937,260315}
{-776862,977385}
{747552,122103}
{636232,-998831}
{912008,585318}
{-806586,225530}
{550770,-314795}
{-884550,-407018}
{-327704,541700}
{739360,68966}
{856221,-76579}
{258061,113497}
{445659,-953596}
{704768,-807571}
{-401490,-145236}
{-580465,-95024}
{738087,531233}
{674309,-1355}
{-828268,578479}
{153343,811896}
{-390790,-888245}
{463116,-869595}
{855181,-669145}
{-604084,-380812}
{919393,375114}
{549242,-161228}
{-454404,-500838}
{-431682,762248}
{596724,-473528}
{383306,-442944}
{-394952,-711130}
{-876258,896704}
{-522485,907851}
{-648286,967737}
{327285,747436}
{781307,136937}
{-678674,956369}
{-472087,-818966}
{-29900,903073}
{140536,220307}
{108591,-253248}
{-715735,896566}
{726557,320486}
{-672183,922893}
{-67888,-931337}
{-797073,-444013}
{798897,251630}
{-183860,-639454}
{600094,-567829}
{-150684,-877348}
{626895,-422102}
{-692256,-168433}
{-742755,-337118}
{887071,885300}
{-646717,143899}
{-127366,160027}
{-713053,-80288}
{-710750,259476}
{192468,155220}
{-545072,-681866}
{-941923,827654}
{318615,-33459}
{-368382,-351406}
{997711,-741709}
{239289,92999}
{816631,806182}
{-71052,-930821}
{-803556,903951}
{-668670,-611470}
{-963057,-989615}
{-859286,-864186}
{-370953,-604758}
{464889,-597280}
{-87230,809118}
{-364864,292907}
{389624,-950896}
{-446961,564077}
{-244292,-778454}
{-931710,-516072}
{767033,-431405}
{-855585,-31941}
{-950646,-619598}
{-617996,-520927}
{627861,65912}
{71186,3337}
{-220678,-974556}
{-942931,-973551}
{-648456,460384}
{952139,-965355}
{851884,736793}
{-534455,995999}
{-766542,755637}
{-728899,708705}
{-59265,-620464}
{692387,230657}
{-517468,-363381}
{-701866,890891}
{950687,-60627}
{-922402,-165957}
{155534,45170}
{-199067,-871009}
{955635,297526}
{-122485,-507362}
{774724,146558}
{-717978,-67337}
{702131,-672306}
{-221588,313475}
{278355,-298554}
{149518,291253}
{698033,271672}
{672462,497470}
{686776,-442273}
{718476,591917}
{-674573,563637}
{139483,-310282}
{272755,932261}
{296897,-45925}
{-849292,-852447}
{-615131,487437}
{-30942,743659}
{-994819,-688523}
{-636797,602551}
{-166270,-712618}
{-40167,379799}
{905391,368993}
{261821,-794935}
{608354,215857}
{-767580,425713}
{813591,950290}
{-403394,-226666}
{-984173,-527190}
{-102661,879904}
{369711,-281233}
{-507334,545484}
{914037,-310481}
{239356,-962515}
{-368929,540332}
{-984143,-378986}
{-743281,-29653}
{-368662,890993}
{-195451,-888406}
{285391,373970}
{-232228,399544}
{420645,561529}
{-793361,117394}
{387358,782817}
{-439555,13579}
{759025,-546591}
{595297,694259}
{-905884,-598616}
{271178,646695}
{360217,-36894}
{-828584,-968079}
{-169169,383578}
{-81863,416941}
{-301730,-313862}
{435526,296214}
{113347,516520}
{411488,-113347}
{-889937,-962281}
{-823031,-971460}
{199753,119422}
{-270695,641004}
{18394,-987951}
{518485,-350828}
{697494,53357}
{-549061,-917686}
{-353945,194516}
{-328825,687674}
{-39513,328694}
{-861960,401132}
{961564,371273}
{-191746,630380}
{626448,35221}
{-887441,651506}
{-351372,-418361}
{530497,-245774}
{431630,-398717}
{581165,-692443}
{-707431,541276}
{341315,-306916}
{892392,180271}
{-295044,539716}
{196297,882112}
{101110,333803}
{220852,-344829}
{569368,-863245}
{-137985,-175975}
{-131674,-965564}
{343528,-840896}
{496110,840486}
{-857188,456200}
{368981,-9536}
{-78022,910351}
{-910136,-924189}
{215114,45921}
{-138552,-889353}
{675818,-157650}
{110858,382833}
{-239232,444842}
{666036,-716547}
{808744,-909947}
{918991,-804000}
{489796,480892}
{898404,-628928}
{618991,264647}
{-303214,216394}
{-523512,-669159}
{634115,-970604}
{12601,-198736}
{233184,-65696}
{-889655,-869829}
{-953832,399277}
{803834,821172}
{-829904,167993}
{217301,-579962}
{222857,812774}
{431115,204049}
{-51244,424279}
{853334,765956}
{792863,379987}
{347656,740743}
{-757224,-567973}
{-264387,-344440}
{-698500,759701}
{687222,-830913}
{-751996,197864}
{-549298,-930993}
{129051,-494356}
{-30637,172765}
{-143834,-280885}
{407172,932464}
{-301037,-753786}
{-692913,245224}
{358389,568736}
{925407,286846}
{-329208,-568164}
{-16300,184705}
{-518666,-605354}
{-609414,-550009}
{266979,-935708}
{406992,-923300}
{661018,-710066}
{-510264,196380}
{-296613,-754815}
{542471,28545}
{923609,-505475}
{-727214,480471}
{877778,472585}
{-634109,-87148}
{924919,918550}
{312625,-830152}
{-397972,-477650}
{-42985,38579}
{695593,-536615}
{-118036,935500}
{470264,799082}
{840967,-917999}
{-201943,-719567}
{-951478,679305}
{653185,-326892}
{-700150,-181263}
{-428024,337048}
{253464,60373}
{-199130,-346599}
{-264184,-324482}
{101146,17693}
{-630766,-439072}
{372453,-980121}
{649934,986844}
{-397761,-142517}
{-114938,893452}
{-62344,-872666}
{-23148,-829654}
{-759695,695417}
{-62845,-192910}
{418952,544899}
{852914,665343}
{374133,938899}
{10749,-321640}
{-590900,436621}
{-909952,-256841}
{-632122,578606}
{-123746,-167263}
{463046,130083}
{-762403,-603633}
{-121785,-144107}
{-893380,-242628}
{178551,-135326}
{-982523,-276647}
{381425,828110}
{-145269,-566368}
{-707534,-442774}
{-10377,124972}
{588937,301696}
{771825,485095}
{-742073,-557377}
{-531089,-857739}
{207776,936184}
{-718220,-961361}
{199002,-932689}
{-969040,378541}
{-845239,77290}
{743061,-604437}
{701307,246726}
{-514337,181907}
{308812,-593658}
{620641,971284}
{514650,-584521}
{-480132,78663}
{-680298,979433}
{-236838,945490}
{264182,-726038}
{-296680,-537631}
{26034,-669522}
{241804,-503318}
{-63276,758642}
{-569400,-905779}
{-993258,191554}
{506079,205239}
{329258,-67279}
{357721,268428}
{773197,-548931}
{-97254,-289953}
{658586,-740938}
{-885899,477682}
{-87425,-664751}
{806279,882265}
{838266,-798474}
{-591453,98242}
{41850,416649}
{-217920,-336634}
{-273696,622991}
{279786,75750}
{-288408,-479214}
{647489,-785722}
{348022,200241}
{169597,-341123}
{464155,-869052}
{-982875,-595579}
{-838755,934665}
{-837742,-4250}
{787914,-257834}
{-363443,921158}
{-146251,-169438}
{-938381,-564294}
{786834,603109}
{-194528,544777}
{935757,-151823}
{-8355,-418146}
{158038,231672}
{-756535,-751445}
{-311226,255632}
{-468443,-170640}
{290270,-543483}
{9434,-518082}
{-86201,237187}
{-862978,409325}
{368312,-60995}
{349324,546132}
{-251822,-428655}
{-658689,12540}
{-891543,470757}
{162782,364667}
{695742,-380539}
{-294186,98234}
{-986360,305844}
{-490169,-514733}
{209237,499255}
{61182,-853885}
{-586317,-890701}
{350478,35081}
{894222,-123438}
{-242483,369405}
{-899403,564525}
{-564223,168561}
{541145,-159885}
{-698110,110549}
{856910,-70524}
{-293617,772107}
{-39725,894745}
{154216,511050}
{-457897,-961690}
{191831,795580}
{-316565,890801}
{487734,817600}
{-521100,589030}
{-512230,39553}
{812179,-352663}
{716947,-538513}
{-494786,-715463}
{-667451,456592}
{-985006,35688}
{867243,-372881}
{778412,240057}
{360045,879595}
{-250906,138618}
{651469,179695}
{-732832,-351371}
{443198,421297}
{192355,937942}
{-347273,484938}
{-791232,-453324}
{-41603,323499}
{-602175,-778862}
{176248,-918397}
{-372213,-827862}
{114730,762113}
{743144,885182}
{47874,-253099}
{-613613,-990382}
{594839,466224}
{-812998,487655}
{-722141,416824}
{712819,-946763}
{-530844,653133}
{445928,-401402}
{426932,851408}
{-916422,-214259}
{-192669,-226773}
{-444068,-31910}
{638979,-297561}
{-730419,697845}
{471698,572248}
{889291,-929929}
{665149,875266}
{-660124,-92830}
{-807007,-895458}
{71029,-454281}
{-413101,98804}
{514665,441781}
{147626,422488}
{-24677,-390138}
{170751,271396}
{910427,720667}
{-239327,-5505}
{98990,-538864}
{-211628,-692609}
{-952818,-231155}
{185417,-692859}
